sourceDomain	sourceId	sourceTerm	certainty	review	omopDomainId	omopConceptId	omopConceptName	usedCount
urn:ordercomms:rtest:textual-result	Giardia lamblia DETECTED	Giardia lamblia DETECTED	0.506803038	1	Meas Value	4301615	Giardia lamblia	734
urn:ordercomms:rtest:textual-result	Aspergillus fumigatus complex	Aspergillus fumigatus complex	0.585421901	1	Meas Value	36713976	Aspergillus fumigatus species complex	729
urn:ordercomms:rtest:textual-result	Klebsiella oxytoca	Klebsiella oxytoca	1	1	Meas Value	4254213	Klebsiella oxytoca	723
urn:ordercomms:rtest:textual-result	Neisseria gonorrhoea	Neisseria gonorrhoea	0.839871846	1	Meas Value	4285582	Neisseria gonorrhoeae	720
urn:ordercomms:rtest:textual-result	Acid/Alcohol fast bacilli	Acid/Alcohol fast bacilli	0.327073415	1	Meas Value	4348173	Acid and alcohol-fast bacillus	682
urn:ordercomms:rtest:textual-result	Serratia marcescens	Serratia marcescens	1	1	Meas Value	4140691	Serratia marcescens	678
urn:ordercomms:rtest:textual-result	NEGATIVE	NEGATIVE	1	1	Meas Value	9189	Negative	671
urn:ordercomms:rtest:textual-result	Small numbers	Small numbers	0.292893219	1	Meas Value	4123508	+	669
urn:ordercomms:rtest:textual-result	Cryptosporidium sp. SEEN	Cryptosporidium sp. SEEN	0.506803038	1	Meas Value	4308728	Cryptosporidium	658
urn:ordercomms:rtest:textual-result	Moderate numbers	Moderate numbers	0.814304662	1	Meas Value	4126673	++	644
urn:ordercomms:rtest:textual-result	NOT Detected by PCR	NOT Detected by PCR	0.508696316	1	Meas Value	9190	Not detected	623
urn:ordercomms:rtest:textual-result	Cryptosporidium sp. Detected.	Cryptosporidium sp. Detected.	0.422649731	1	Meas Value	4308728	Cryptosporidium	609
urn:ordercomms:rtest:textual-result	Gram positive cocci +++	Gram positive cocci +++	0.395141621	1	Meas Value	4241096	Gram-positive coccus	596
urn:ordercomms:rtest:textual-result	Propionibacterium acnes	Propionibacterium acnes	0.602640293	1	Meas Value	4144074	Propionibacterium	575
urn:ordercomms:rtest:textual-result	Alpha haemolytic streptococci	Alpha haemolytic streptococci	0.48245083	1	Meas Value	4246064	Alpha-hemolytic streptococcus	560
urn:ordercomms:rtest:textual-result	Giardia lamblia cysts	Giardia lamblia cysts	0.839871846	1	Meas Value	43531244	Giardia lamblia cyst	545
urn:ordercomms:rtest:textual-result	Cryptosporidium sp. DETECTED	Cryptosporidium sp. DETECTED	0.436907494	1	Meas Value	4308728	Cryptosporidium	543
urn:ordercomms:rtest:textual-result	Haemophilus parainfluenzae	Haemophilus parainfluenzae	1	1	Meas Value	4197565	Haemophilus parainfluenzae	526
urn:ordercomms:rtest:textual-result	Morganella morganii	Morganella morganii	1	1	Meas Value	4348164	Morganella morganii	479
urn:ordercomms:rtest:textual-result	Bacillus sp.	Bacillus sp.	0.528595479	1	Meas Value	4259140	Bacillus	474
urn:ordercomms:rtest:textual-result	Staphylococcus sp.	Staphylococcus sp.	0.634851628	1	Meas Value	4278981	Staphylococcus	461
